job_title,company,location,skills,description
Software Developer,Acme Tech Solutions,San Francisco CA,"Python, Java, Git, REST APIs, SQL, Docker","We are seeking an enthusiastic Software Developer to build high-performance backend microservices and maintain cloud-native systems. Responsibilities include designing scalable REST APIs, writing clean modular code, collaborating in agile sprints, and automating CI/CD unit testing."
Data Analyst,Apex Analytics,New York NY,"Python, SQL, Tableau, Power BI, Excel, Pandas, Statistics","Apex Analytics is hiring an insightful Data Analyst to transform raw transactional datasets into interactive dashboards and executive KPI reports. You will write complex SQL queries, conduct cohort retention analysis, and communicate business intelligence to product stakeholders."
Data Scientist,InsightLabs AI,Remote,"Python, R, Machine Learning, Scikit-learn, Statistics, SQL, Pandas","Join InsightLabs AI to build predictive models and automated statistical pipelines. Ideal candidates possess strong foundational statistics, experience in supervised/unsupervised machine learning, feature engineering, and deploying models to production."
Machine Learning Engineer,TensorNova Systems,Boston MA,"Python, PyTorch, TensorFlow, MLOps, Docker, FastAPI, CUDA","TensorNova seeks an ML Engineer to design and deploy deep learning architectures into low-latency inference services. You will build automated training pipelines, optimize ONNX runtime models, manage model registries, and deploy containerized APIs."
Web Developer,PixelCraft Studios,Austin TX,"HTML5, CSS3, JavaScript, TypeScript, React, Tailwind CSS, REST APIs","We need a creative Web Developer to engineer responsive, accessible web portals. You will build component design systems, integrate client-side state management, and optimize Lighthouse performance scores for high-traffic web applications."
Backend Developer,CloudScale Infrastructure,Seattle WA,"Python, Go, PostgreSQL, Redis, Kubernetes, gRPC, Kafka","Looking for a senior backend engineer to architect distributed message queues and relational data stores. Experience with concurrent programming, Redis caching layers, PostgreSQL query tuning, and Kubernetes orchestration is highly valued."
Frontend Developer,NovaUI Labs,Remote,"React, Next.js, TypeScript, Tailwind CSS, Jest, State Management, Webpack","Seeking a passionate Frontend Developer to craft pixel-perfect user experiences. You will collaborate with UX designers, translate Figma wireframes into performant React components, and maintain unit test coverage."
AI Engineer,Cognitive Matrix,San Jose CA,"Python, LangChain, Gemini API, RAG, Vector Databases, FAISS, Prompt Engineering","Cognitive Matrix is looking for a Generative AI Engineer to build enterprise RAG pipelines, LLM fine-tuning loops, and agentic workflows. Hands-on experience with vector search, chunking strategies, embeddings, and safety guardrails is mandatory."
Cloud Engineer,Skyline Cloud Services,Chicago IL,"AWS, Azure, Terraform, Linux, CI/CD, Kubernetes, Docker, Python","Skyline is seeking a Cloud Engineer to automate multi-cloud infrastructure. You will manage Infrastructure-as-Code via Terraform, maintain Kubernetes clusters, configure IAM zero-trust security policies, and monitor observability metrics with Prometheus."
Business Analyst,Global Horizon Financial,Atlanta GA,"SQL, Excel, Agile, Jira, Requirements Gathering, Process Modeling, Power BI","Join Global Horizon to bridge business strategy and technical development. You will document functional specifications, facilitate sprint grooming ceremonies, analyze market trends, and build operational tracking dashboards."
Full Stack Engineer,Nexus Innovations,Denver CO,"Python, TypeScript, React, Node.js, PostgreSQL, Docker, GraphQL","Nexus Innovations is hiring a versatile Full Stack Engineer to work across our entire application stack. You will build intuitive user interfaces, architect resilient GraphQL/REST services, and manage relational database schemas."
DevOps Engineer,Vanguard Operations,Remote,"Docker, Kubernetes, GitHub Actions, Linux, Ansible, Terraform, Monitoring","Vanguard is looking for a DevOps Engineer to automate deployment pipelines and elevate system reliability (SRE). You will manage Kubernetes clusters, configure automated rollback hooks, and reduce deployment lead time."
